lower;upper;freq
0.0595;0.0605;1
0.0635;0.0645;2
0.0645;0.0655;1
0.0655;0.0665;1
0.0675;0.0685;1
0.0685;0.0695;7
0.0695;0.0705;26
0.0705;0.0715;20
0.0715;0.0725;32
0.0725;0.0735;11
0.0735;0.0745;10
0.0745;0.0755;20
0.0755;0.0765;18
0.0765;0.0775;11
0.0775;0.0785;23
0.0785;0.0795;42
0.0795;0.0805;37
0.0805;0.0815;15
0.0815;0.0825;18
0.0825;0.0835;7
0.0835;0.0845;3
0.0845;0.0855;2
0.0855;0.0865;2
0.0865;0.0875;1
0.0875;0.0885;2
0.0885;0.0895;10
0.0895;0.0905;9
0.0905;0.0915;3
0.0915;0.0925;5
0.0925;0.0935;6
0.0935;0.0945;3
0.0945;0.0955;2
0.0955;0.0965;3
0.0965;0.0975;7
0.0975;0.0985;5
0.0985;0.0995;5
0.0995;0.1005;15
0.1005;0.1015;9
0.1015;0.1025;8
0.1025;0.1035;7
0.1035;0.1045;2
0.1045;0.1055;5
0.1055;0.1065;4
0.1065;0.1075;3
0.1075;0.1085;7
0.1085;0.1095;7
0.1095;0.1105;11
0.1105;0.1115;4
0.1115;0.1125;5
0.1135;0.1145;3
0.1145;0.1155;3
0.1165;0.1175;1
0.1185;0.1195;4
0.1195;0.1205;3
0.1205;0.1215;1
0.1215;0.1225;2
0.1225;0.1235;2
0.1245;0.1255;2
0.1275;0.1285;1
0.1285;0.1295;3
0.1295;0.1305;1
0.1305;0.1315;1
